,OBJECTID,BYGNING_ID,FYLKES_NR,FYLKES_NAVN,KOMMUNE_NR,KOMMUNE_NAVN,BYGNINGS_NR,BYGNING_LNR,BYGNINGSTYPE_NR,BYGNINGSTYPE_NAVN,BYGNINGSSTATUS_NR,BYGNINGSSTATUS_NAVN,GODKJENT_DATO,IGANGSATT_DATO,TATT_I_BRUK_DATO,TATT_I_BRUK,NAERINGSGRUPPE_KODE,NAERINGSGRUPPE_NAVN,PAABYGG_TILBYGG_KODE,PAABYGG_TILBYGG_NAVN,REGISTRERT_IGANGSATT_DATO,REGISTRERT_GODKJENT_DATO,VANNFORSYNING_NR,VANNFORSYNING_NAVN,BRUKSAREAL_TOTALT,BRUKSAREAL_BOLIG,BRUKSAREAL_ANNET_BOLIG,ANTALL_ETASJER,ANTALL_BOLIGER,LKOORDINAT_TYPE,LKOORDINATSYSTEM_NR,LKOORDINATSYSTEM_NAVN,LKOORDINAT_KVALITET_KODE,LKOORDINAT_KVALITET_NAVN,LX_KOORDINAT,LY_KOORDINAT,LZ_KOORDINAT,UKOORDINAT_TYPE,UKOORDINATSYSTEM_NR,UKOORDINATSYSTEM_NAVN,UKOORDINAT_KVALITET_KODE,UKOORDINAT_KVALITET_NAVN,UX_KOORDINAT,UY_KOORDINAT,UZ_KOORDINAT,EIENDOM_ANTALL,HAR_HEIS,BEBYGD_AREAL,Byggtype_profet,Energistandard_profet,Energibronn,Energiomraadeid,SHAPE,grunnvarme,solceller,luft_luft_varmepumpe,fjernvarme,_nettutveksling_energi,_nettutveksling_effekt,_utetemperatur,_termisk_energibehov,_elspesifikt_energibehov,_kompressor,_levert_fra_kilde,_spisslast,_fjernvarmeproduksjon,_solcelleproduksjon,_nettutveksling_energi_liste
38289,38290,5278048,30,VIKEN,3003,SARPSBORG,300296263,0,181,Garasjeuthus anneks til bolig,MF,Meldingssak tiltak fullført,10101,10101,10101,10101,Y,Annet som ikke er næring,,,10101,10101,,Ikke utfylt,4.0,0.0,4.0,1,,L,22,EUREF89 UTM Sone 32,,,6570674.4,624157.6,,U,23,EUREF89 UTM Sone 33,,,6574896.73,282105.35,0.0,1,N,5.0,,,,C,"{'x': 624157.5999999996, 'y': 6570674.4, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",0,0,0,0,0.0,0.0,[0],[0],[0],0,0,0,0,0,0
38290,38291,5278051,30,VIKEN,3003,SARPSBORG,300296269,0,181,Garasjeuthus anneks til bolig,MF,Meldingssak tiltak fullført,10101,10101,10101,10101,Y,Annet som ikke er næring,,,10101,10101,,Ikke utfylt,4.0,0.0,4.0,1,,L,22,EUREF89 UTM Sone 32,,,6570832.7,624147.3,,U,23,EUREF89 UTM Sone 33,,,6575055.38,282109.32,0.0,1,N,5.0,,,,C,"{'x': 624147.2999999998, 'y': 6570832.699999999, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",0,0,0,0,0.0,0.0,[0],[0],[0],0,0,0,0,0,0
38291,38292,5278052,30,VIKEN,3003,SARPSBORG,300296273,0,181,Garasjeuthus anneks til bolig,MF,Meldingssak tiltak fullført,10101,10101,10101,10101,Y,Annet som ikke er næring,,,10101,10101,,Ikke utfylt,4.0,0.0,4.0,1,,L,22,EUREF89 UTM Sone 32,,,6570858.8,624186.4,,U,23,EUREF89 UTM Sone 33,,,6575077.87,282150.63,0.0,1,N,5.0,,,,C,"{'x': 624186.4000000004, 'y': 6570858.800000001, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",0,0,0,0,0.0,0.0,[0],[0],[0],0,0,0,0,0,0
38292,38293,5278053,30,VIKEN,3003,SARPSBORG,300296275,0,181,Garasjeuthus anneks til bolig,MF,Meldingssak tiltak fullført,10101,10101,10101,10101,Y,Annet som ikke er næring,,,10101,10101,,Ikke utfylt,4.0,0.0,4.0,1,,L,22,EUREF89 UTM Sone 32,,,6570676.9,624158.4,,U,23,EUREF89 UTM Sone 33,,,6574899.15,282106.37,0.0,1,N,5.0,,,,C,"{'x': 624158.4000000004, 'y': 6570676.9, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",0,0,0,0,0.0,0.0,[0],[0],[0],0,0,0,0,0,0
38293,38294,5278606,30,VIKEN,3003,SARPSBORG,300296689,0,161,Fritidsbygg(hyttersommerh. ol,FA,Ferdigattest,10101,20120511,20150817,20150819,Y,Annet som ikke er næring,,,20120515,10101,1,Tilkn. off. vannverk,73.0,0.0,73.0,1,,L,22,EUREF89 UTM Sone 32,,,6561241.4,623563.4,,U,23,EUREF89 UTM Sone 33,,,6565551.59,280665.24,0.0,1,N,88.0,A,Y,,D,"{'x': 623563.4000000004, 'y': 6561241.4, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",True,0,0.0,0,6700.0,2.0,[0],[0.99850471 0.93239273 0.89749364 ... 1.2637071  1.1373728  1.07908791],[0.30400242 0.23665079 0.21272808 ... 0.52225113 0.46557271 0.36951383],[0.28528706 0.26639792 0.25642675 ... 0.36105917 0.32496366 0.30831083],"[-0.71321765 -0.66599481 -0.64106688 ... -0.90264793 -0.81240914
 -0.77077708]",[0. 0. 0. ... 0. 0. 0.],0,0,[0.87457654 0.76944664 0.72558159 ... 1.24436947 1.11550002 0.98613549]
38294,38295,5279104,30,VIKEN,3003,SARPSBORG,300297088,0,121,"Tomannsbolig, vertikaldelt",FA,Ferdigattest,20120514,20130523,20131220,20131227,X,Bolig,,,20130523,20120518,1,Tilkn. off. vannverk,110.0,110.0,0.0,2,1,L,22,EUREF89 UTM Sone 32,,,6574459.1,620072.6,,U,23,EUREF89 UTM Sone 33,,,6579035.14,278375.71,0.0,1,N,60.0,A,Y,,C,"{'x': 620072.5999999996, 'y': 6574459.1, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",0,True,0.0,0,7900.0,4.0,[0],[1.50459614 1.40497535 1.35238767 ... 1.90421617 1.71384942 1.62602287],[0.45808584 0.35659709 0.32054916 ... 0.78695375 0.70154791 0.55680166],0,0,0,0,[-0. -0. -0. ... -0. -0. -0.],[1.96268197 1.76157244 1.67293684 ... 2.69116992 2.41539734 2.18282453]
38295,38296,5279105,30,VIKEN,3003,SARPSBORG,300297095,0,121,"Tomannsbolig, vertikaldelt",FA,Ferdigattest,20120514,20130523,20131220,20131227,X,Bolig,,,20130523,20120518,1,Tilkn. off. vannverk,110.0,110.0,0.0,2,1,L,22,EUREF89 UTM Sone 32,,,6574462.5,620067.3,,U,23,EUREF89 UTM Sone 33,,,6579039.0,278370.73,0.0,1,N,60.0,A,Y,,C,"{'x': 620067.2999999998, 'y': 6574462.5, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",True,True,0.0,0,3700.0,2.0,[0],[1.50459614 1.40497535 1.35238767 ... 1.90421617 1.71384942 1.62602287],[0.45808584 0.35659709 0.32054916 ... 0.78695375 0.70154791 0.55680166],[0.42988461 0.40142153 0.38639648 ... 0.54406176 0.48967126 0.46457796],"[-1.07471153 -1.00355382 -0.9659912  ... -1.36015441 -1.22417816
 -1.16144491]",[0. 0. 0. ... 0. 0. 0.],0,[-0. -0. -0. ... -0. -0. -0.],[1.31785506 1.15944015 1.09334212 ... 1.87507728 1.68089044 1.48595759]
38296,38297,5279126,30,VIKEN,3003,SARPSBORG,300297102,0,181,Garasjeuthus anneks til bolig,FA,Ferdigattest,20120514,20130523,20131220,20131227,Y,Annet som ikke er næring,,,20130523,20120518,,Ikke utfylt,10.0,0.0,10.0,1,,L,22,EUREF89 UTM Sone 32,,,6574461.9,620081.3,,U,23,EUREF89 UTM Sone 33,,,6579037.14,278384.63,0.0,1,N,12.0,A,Y,,C,"{'x': 620081.2999999998, 'y': 6574461.9, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",True,True,0.0,0,-400.0,0.0,[0],[0.13678147 0.12772503 0.12294433 ... 0.17311056 0.15580449 0.14782026],[0.04164417 0.03241792 0.02914083 ... 0.07154125 0.06377708 0.05061833],[0.03908042 0.03649287 0.03512695 ... 0.04946016 0.04451557 0.04223436],"[-0.09770105 -0.09123217 -0.08781738 ... -0.1236504  -0.11128892
 -0.1055859 ]",[0. 0. 0. ... 0. 0. 0.],0,[-0. -0. -0. ... -0. -0. -0.],[0.11980501 0.10540365 0.09939474 ... 0.17046157 0.15280822 0.13508705]
38297,38298,5279127,30,VIKEN,3003,SARPSBORG,300297108,0,121,"Tomannsbolig, vertikaldelt",FA,Ferdigattest,20120514,20130523,20131220,20131227,X,Bolig,,,20130523,20120518,1,Tilkn. off. vannverk,110.0,110.0,0.0,2,1,L,22,EUREF89 UTM Sone 32,,,6574454.5,620046.7,,U,23,EUREF89 UTM Sone 33,,,6579032.88,278349.49,0.0,1,N,60.0,A,Y,,C,"{'x': 620046.7000000002, 'y': 6574454.5, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",0,True,0.0,True,-2000.0,0.0,[0],[1.50459614 1.40497535 1.35238767 ... 1.90421617 1.71384942 1.62602287],[0.45808584 0.35659709 0.32054916 ... 0.78695375 0.70154791 0.55680166],0,0,0,"[-1.50459614 -1.40497535 -1.35238767 ... -1.90421617 -1.71384942
 -1.62602287]",[-0. -0. -0. ... -0. -0. -0.],[0.45808584 0.35659709 0.32054916 ... 0.78695375 0.70154791 0.55680166]
38298,38299,5279129,30,VIKEN,3003,SARPSBORG,300297115,0,121,"Tomannsbolig, vertikaldelt",FA,Ferdigattest,20120514,20130523,20131220,20131227,X,Bolig,,,20130523,20120518,1,Tilkn. off. vannverk,110.0,110.0,0.0,2,1,L,22,EUREF89 UTM Sone 32,,,6574451.1,620052.2,,U,23,EUREF89 UTM Sone 33,,,6579029.0,278354.66,0.0,1,N,60.0,A,Y,,C,"{'x': 620052.2000000002, 'y': 6574451.1, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",True,True,0.0,0,3700.0,2.0,[0],[1.50459614 1.40497535 1.35238767 ... 1.90421617 1.71384942 1.62602287],[0.45808584 0.35659709 0.32054916 ... 0.78695375 0.70154791 0.55680166],[0.42988461 0.40142153 0.38639648 ... 0.54406176 0.48967126 0.46457796],"[-1.07471153 -1.00355382 -0.9659912  ... -1.36015441 -1.22417816
 -1.16144491]",[0. 0. 0. ... 0. 0. 0.],0,[-0. -0. -0. ... -0. -0. -0.],[1.31785506 1.15944015 1.09334212 ... 1.87507728 1.68089044 1.48595759]
38299,38300,5279130,30,VIKEN,3003,SARPSBORG,300297116,0,181,Garasjeuthus anneks til bolig,FA,Ferdigattest,20120514,20130523,20131220,20131227,Y,Annet som ikke er næring,,,20130523,20120518,,Ikke utfylt,10.0,0.0,10.0,1,,L,22,EUREF89 UTM Sone 32,,,6574463.1,620050.0,,U,23,EUREF89 UTM Sone 33,,,6579041.15,278353.55,0.0,1,N,12.0,A,Y,,C,"{'x': 620050, 'y': 6574463.1, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",True,True,0.0,0,-400.0,0.0,[0],[0.13678147 0.12772503 0.12294433 ... 0.17311056 0.15580449 0.14782026],[0.04164417 0.03241792 0.02914083 ... 0.07154125 0.06377708 0.05061833],[0.03908042 0.03649287 0.03512695 ... 0.04946016 0.04451557 0.04223436],"[-0.09770105 -0.09123217 -0.08781738 ... -0.1236504  -0.11128892
 -0.1055859 ]",[0. 0. 0. ... 0. 0. 0.],0,[-0. -0. -0. ... -0. -0. -0.],[0.11980501 0.10540365 0.09939474 ... 0.17046157 0.15280822 0.13508705]
