,OBJECTID,BYGNING_ID,FYLKES_NR,FYLKES_NAVN,KOMMUNE_NR,KOMMUNE_NAVN,BYGNINGS_NR,BYGNING_LNR,BYGNINGSTYPE_NR,BYGNINGSTYPE_NAVN,BYGNINGSSTATUS_NR,BYGNINGSSTATUS_NAVN,GODKJENT_DATO,IGANGSATT_DATO,TATT_I_BRUK_DATO,TATT_I_BRUK,NAERINGSGRUPPE_KODE,NAERINGSGRUPPE_NAVN,PAABYGG_TILBYGG_KODE,PAABYGG_TILBYGG_NAVN,REGISTRERT_IGANGSATT_DATO,REGISTRERT_GODKJENT_DATO,VANNFORSYNING_NR,VANNFORSYNING_NAVN,BRUKSAREAL_TOTALT,BRUKSAREAL_BOLIG,BRUKSAREAL_ANNET_BOLIG,ANTALL_ETASJER,ANTALL_BOLIGER,LKOORDINAT_TYPE,LKOORDINATSYSTEM_NR,LKOORDINATSYSTEM_NAVN,LKOORDINAT_KVALITET_KODE,LKOORDINAT_KVALITET_NAVN,LX_KOORDINAT,LY_KOORDINAT,LZ_KOORDINAT,UKOORDINAT_TYPE,UKOORDINATSYSTEM_NR,UKOORDINATSYSTEM_NAVN,UKOORDINAT_KVALITET_KODE,UKOORDINAT_KVALITET_NAVN,UX_KOORDINAT,UY_KOORDINAT,UZ_KOORDINAT,EIENDOM_ANTALL,HAR_HEIS,BEBYGD_AREAL,Byggtype_profet,Energistandard_profet,Energibronn,Energiomraadeid,SHAPE,grunnvarme,solceller,luft_luft_varmepumpe,fjernvarme,_nettutveksling_energi,_nettutveksling_effekt,_utetemperatur,_termisk_energibehov,_elspesifikt_energibehov,_kompressor,_levert_fra_kilde,_spisslast,_fjernvarmeproduksjon,_solcelleproduksjon,_nettutveksling_energi_liste
38200,38201,5249912,30,VIKEN,3003,SARPSBORG,300272009,0,181,Garasjeuthus anneks til bolig,TB,Tatt i bruk,10101,20120109,20150616,20150616,Y,Annet som ikke er næring,,,20120113,10101,,Ikke utfylt,36.0,0.0,36.0,1,,L,22,EUREF89 UTM Sone 32,,,6570377.9,624128.4,,U,23,EUREF89 UTM Sone 33,,,6574603.94,282049.58,0.0,1,N,39.0,A,Y,,C,"{'x': 624128.4000000004, 'y': 6570377.9, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",0,True,0.0,0,500.0,1.0,[0],[0.49241328 0.45981012 0.4425996  ... 0.62319802 0.56089617 0.53215294],[0.149919  0.1167045 0.104907  ... 0.2575485 0.2295975 0.182226 ],0,0,0,0,[-0. -0. -0. ... -0. -0. -0.],[0.64233228 0.57651462 0.5475066  ... 0.88074652 0.79049367 0.71437894]
38201,38202,5249951,30,VIKEN,3003,SARPSBORG,300272050,0,181,Garasjeuthus anneks til bolig,FA,Ferdigattest,10101,20120110,20171117,20171120,Y,Annet som ikke er næring,,,20120113,10101,1,Tilkn. off. vannverk,184.0,0.0,184.0,1,,L,22,EUREF89 UTM Sone 32,,,6574393.5,625812.0,,U,23,EUREF89 UTM Sone 33,,,6578453.37,284088.24,0.0,1,N,200.0,A,Z,,C,"{'x': 625812, 'y': 6574393.5, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",0,True,0.0,True,-14000.0,1.0,[0],[1.88449313 1.66925632 1.61228403 ... 2.38413525 2.03251872 1.96477132],[0.76625267 0.59648967 0.53619133 ... 1.316359   1.17349833 0.93137733],0,0,0,"[-1.88449313 -1.66925632 -1.61228403 ... -2.38413525 -2.03251872
 -1.96477132]",[-0. -0. -0. ... -0. -0. -0.],[0.76625267 0.59648967 0.53619133 ... 1.316359   1.17349833 0.93137733]
38202,38203,5250393,30,VIKEN,3003,SARPSBORG,300272449,0,181,Garasjeuthus anneks til bolig,FA,Ferdigattest,10101,10101,20160118,20160118,Y,Annet som ikke er næring,,,10101,10101,,Ikke utfylt,30.0,0.0,30.0,1,,L,22,EUREF89 UTM Sone 32,,,6572751.6,620139.9,,U,23,EUREF89 UTM Sone 33,,,6577327.78,278289.14,0.0,1,N,46.0,A,Y,,A,"{'x': 620139.9000000004, 'y': 6572751.6, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",True,True,0.0,0,-2200.0,1.0,[0],[0.4103444  0.3831751  0.368833   ... 0.51933168 0.46741348 0.44346078],[0.1249325  0.09725375 0.0874225  ... 0.21462375 0.19133125 0.151855  ],[0.11724126 0.1094786  0.10538086 ... 0.14838048 0.13354671 0.12670308],"[-0.29310314 -0.2736965  -0.26345214 ... -0.3709512  -0.33386677
 -0.3167577 ]",[0. 0. 0. ... 0. 0. 0.],0,[-0. -0. -0. ... -0. -0. -0.],[0.35941502 0.31621095 0.29818421 ... 0.51138471 0.45842467 0.40526116]
38203,38204,5251110,30,VIKEN,3003,SARPSBORG,300273087,0,111,Enebolig,FA,Ferdigattest,10101,20120116,20121011,20121011,X,Bolig,,,20120118,10101,1,Tilkn. off. vannverk,189.0,189.0,0.0,2,1,L,22,EUREF89 UTM Sone 32,,,6572914.6,624957.4,,U,23,EUREF89 UTM Sone 33,,,6577056.78,283103.73,0.0,1,N,135.0,A,Y,,C,"{'x': 624957.4000000004, 'y': 6572914.6, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",True,True,0.0,0,2900.0,4.0,[0],[2.58516973 2.4140031  2.32364791 ... 3.2717896  2.94470492 2.79380293],[0.78707476 0.61269863 0.55076174 ... 1.35212962 1.20538687 0.95668649],[0.73861992 0.68971517 0.6638994  ... 0.93479703 0.84134426 0.79822941],"[-1.8465498  -1.72428793 -1.65974851 ... -2.33699257 -2.10336066
 -1.99557352]",[0. 0. 0. ... 0. 0. 0.],0,[-0. -0. -0. ... -0. -0. -0.],[2.2643146  1.99212898 1.87856055 ... 3.22172368 2.88807539 2.55314531]
38204,38205,5251116,30,VIKEN,3003,SARPSBORG,300273098,0,181,Garasjeuthus anneks til bolig,FA,Ferdigattest,10101,20120116,20121011,20121011,Y,Annet som ikke er næring,,,20120118,10101,,Ikke utfylt,36.0,0.0,36.0,1,,L,22,EUREF89 UTM Sone 32,,,6572921.8,624943.3,,U,23,EUREF89 UTM Sone 33,,,6577065.22,283090.33,0.0,1,N,40.0,A,Y,,C,"{'x': 624943.2999999998, 'y': 6572921.800000001, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",0,True,0.0,True,-2800.0,0.0,[0],[0.49241328 0.45981012 0.4425996  ... 0.62319802 0.56089617 0.53215294],[0.149919  0.1167045 0.104907  ... 0.2575485 0.2295975 0.182226 ],0,0,0,"[-0.49241328 -0.45981012 -0.4425996  ... -0.62319802 -0.56089617
 -0.53215294]",[-0. -0. -0. ... -0. -0. -0.],[0.149919  0.1167045 0.104907  ... 0.2575485 0.2295975 0.182226 ]
38205,38206,5251451,30,VIKEN,3003,SARPSBORG,300273384,0,181,Garasjeuthus anneks til bolig,MF,Meldingssak tiltak fullført,10101,10101,10101,10101,Y,Annet som ikke er næring,,,10101,10101,,Ikke utfylt,14.0,0.0,14.0,1,,L,22,EUREF89 UTM Sone 32,,,6574444.7,617415.6,,U,23,EUREF89 UTM Sone 33,,,6579259.87,275727.03,0.0,1,N,15.0,,,,A,"{'x': 617415.5999999996, 'y': 6574444.699999999, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",0,0,0.0,0,0.0,0.0,[0],[0],[0],0,0,0,0,0,0
38206,38207,5251783,30,VIKEN,3003,SARPSBORG,300273694,0,182,Garasjeuth.anneks til fritidb,TB,Tatt i bruk,10101,20120118,20150625,20150625,Y,Annet som ikke er næring,,,20120120,10101,,Ikke utfylt,15.0,0.0,15.0,1,,L,22,EUREF89 UTM Sone 32,,,6559526.8,624446.9,,U,23,EUREF89 UTM Sone 33,,,6563763.84,281391.45,0.0,1,N,17.0,A,Y,,D,"{'x': 624446.9000000004, 'y': 6559526.800000001, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",True,0,0.0,0,1400.0,0.0,[0],[0.2051722  0.19158755 0.1844165  ... 0.25966584 0.23370674 0.22173039],[0.06246625 0.04862688 0.04371125 ... 0.10731188 0.09566562 0.0759275 ],[0.05862063 0.0547393  0.05269043 ... 0.07419024 0.06677335 0.06335154],"[-0.14655157 -0.13684825 -0.13172607 ... -0.1854756  -0.16693339
 -0.15837885]",[0. 0. 0. ... 0. 0. 0.],0,0,[0.17970751 0.15810547 0.14909211 ... 0.25569236 0.22921233 0.20263058]
38207,38208,5251827,30,VIKEN,3003,SARPSBORG,300273771,0,121,"Tomannsbolig, vertikaldelt",FA,Ferdigattest,10101,20120110,20120806,20120905,X,Bolig,T,Tilbygg,20120120,10101,1,Tilkn. off. vannverk,172.0,172.0,0.0,3,1,L,22,EUREF89 UTM Sone 32,,,6575247.5,616663.7,,U,23,EUREF89 UTM Sone 33,,,6580127.44,275050.08,0.0,1,N,119.0,A,Y,,A,"{'x': 616663.7000000002, 'y': 6575247.5, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",True,True,0.0,0,3000.0,4.0,[0],[2.35264123 2.19687055 2.11464254 ... 2.97750165 2.67983728 2.54250849],[0.71627967 0.55758817 0.50122233 ... 1.2305095  1.09696583 0.87063533],[0.67218321 0.6276773  0.60418358 ... 0.85071476 0.76566779 0.726431  ],"[-1.68045802 -1.56919325 -1.51045896 ... -2.12678689 -1.91416949
 -1.81607749]",[0. 0. 0. ... 0. 0. 0.],0,[-0. -0. -0. ... -0. -0. -0.],[2.06064609 1.81294277 1.7095895  ... 2.93193901 2.62830142 2.32349732]
38208,38209,5252851,30,VIKEN,3003,SARPSBORG,300274667,0,181,Garasjeuthus anneks til bolig,MF,Meldingssak tiltak fullført,10101,10101,10101,10101,Y,Annet som ikke er næring,,,10101,10101,,Ikke utfylt,47.0,0.0,47.0,1,,L,22,EUREF89 UTM Sone 32,,,6569423.2,625375.6,,U,23,EUREF89 UTM Sone 33,,,6573540.57,283206.36,0.0,1,N,49.0,,,,C,"{'x': 625375.5999999996, 'y': 6569423.199999999, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",0,0,0,0,0.0,0.0,[0],[0],[0],0,0,0,0,0,0
38209,38210,5253582,30,VIKEN,3003,SARPSBORG,300275337,0,182,Garasjeuth.anneks til fritidb,FA,Ferdigattest,10101,20120123,20170503,20170503,Y,Annet som ikke er næring,,,20120127,10101,1,Tilkn. off. vannverk,2.0,0.0,2.0,1,,L,22,EUREF89 UTM Sone 32,,,6556138.9,626934.0,,U,23,EUREF89 UTM Sone 33,,,6560164.9,283565.11,0.0,1,N,3.0,A,Z,,D,"{'x': 626934, 'y': 6556138.9, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",True,0,0.0,0,200.0,0.0,[0],[0.02048362 0.01814409 0.01752483 ... 0.02591451 0.02209259 0.02135621],[0.00832883 0.00648358 0.00582817 ... 0.01430825 0.01275542 0.01012367],[0.00585246 0.00518403 0.00500709 ... 0.00740415 0.00631217 0.00610177],"[-0.01463116 -0.01296006 -0.01251773 ... -0.01851037 -0.01578042
 -0.01525444]",[0. 0. 0. ... 0. 0. 0.],0,0,[0.02003376 0.01685164 0.01584235 ... 0.02911654 0.02537976 0.02232722]
38210,38211,5253695,30,VIKEN,3003,SARPSBORG,300275444,0,181,Garasjeuthus anneks til bolig,TB,Tatt i bruk,10101,10101,20160118,20160118,Y,Annet som ikke er næring,,,10101,10101,,Ikke utfylt,47.0,0.0,47.0,1,,L,22,EUREF89 UTM Sone 32,,,6575027.7,619862.6,,U,23,EUREF89 UTM Sone 33,,,6579620.57,278217.63,0.0,1,N,49.0,A,Y,,C,"{'x': 619862.5999999996, 'y': 6575027.699999999, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",0,True,0.0,True,-3400.0,0.0,[0],[0.64287289 0.60030765 0.57783837 ... 0.81361964 0.73228112 0.69475523],[0.19572758 0.15236421 0.13696192 ... 0.33624387 0.29975229 0.23790617],0,0,0,"[-0.64287289 -0.60030765 -0.57783837 ... -0.81361964 -0.73228112
 -0.69475523]",[-0. -0. -0. ... -0. -0. -0.],[0.19572758 0.15236421 0.13696192 ... 0.33624387 0.29975229 0.23790617]
38211,38212,5253878,30,VIKEN,3003,SARPSBORG,300275609,0,181,Garasjeuthus anneks til bolig,MF,Meldingssak tiltak fullført,10101,10101,10101,10101,Y,Annet som ikke er næring,,,10101,10101,,Ikke utfylt,47.0,0.0,47.0,1,,L,22,EUREF89 UTM Sone 32,,,6574895.3,619340.8,,U,23,EUREF89 UTM Sone 33,,,6579535.6,277685.81,0.0,1,N,49.0,,,,C,"{'x': 619340.7999999998, 'y': 6574895.300000001, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",0,0,0,0,0.0,0.0,[0],[0],[0],0,0,0,0,0,0
38212,38213,5253965,30,VIKEN,3003,SARPSBORG,300275702,0,181,Garasjeuthus anneks til bolig,FA,Ferdigattest,10101,10101,20160118,20160118,Y,Annet som ikke er næring,,,10101,10101,,Ikke utfylt,19.0,0.0,19.0,1,,L,22,EUREF89 UTM Sone 32,,,6571720.3,622483.5,,U,23,EUREF89 UTM Sone 33,,,6576089.4,280531.44,0.0,1,N,21.0,A,Y,,C,"{'x': 622483.5, 'y': 6571720.300000001, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",True,True,0.0,0,-500.0,0.0,[0],[0.25988479 0.24267756 0.23359423 ... 0.32891007 0.29602854 0.2808585 ],[0.07912392 0.06159404 0.05536758 ... 0.13592837 0.12117646 0.09617483],[0.0742528  0.06933645 0.06674121 ... 0.0939743  0.08457958 0.08024528],"[-0.18563199 -0.17334111 -0.16685302 ... -0.23493576 -0.21144895
 -0.20061321]",[0. 0. 0. ... 0. 0. 0.],0,[-0. -0. -0. ... -0. -0. -0.],[0.22762951 0.20026693 0.18885    ... 0.32387698 0.29033562 0.2566654 ]
38213,38214,5254671,30,VIKEN,3003,SARPSBORG,300276335,0,111,Enebolig,MB,Midlertidig brukstillatelse,10101,20120125,20140331,20140331,X,Bolig,,,20120201,10101,1,Tilkn. off. vannverk,253.0,253.0,0.0,3,1,L,22,EUREF89 UTM Sone 32,,,6572050.3,617934.9,,U,23,EUREF89 UTM Sone 33,,,6576827.38,276029.02,0.0,1,N,125.0,A,Y,,B,"{'x': 617934.9000000004, 'y': 6572050.300000001, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",0,0,0.0,True,10100.0,1.0,[0],[3.46057112 3.23144331 3.11049165 ... 4.37969719 3.94185367 3.7398526 ],[1.05359743 0.8201733  0.73726307 ... 1.80999362 1.6135602  1.28064382],0,0,0,"[-3.46057112 -3.23144331 -3.11049165 ... -4.37969719 -3.94185367
 -3.7398526 ]",0,[1.05359743 0.8201733  0.73726307 ... 1.80999362 1.6135602  1.28064382]
38214,38215,5254691,30,VIKEN,3003,SARPSBORG,300276355,0,999,,IP,Tiltak unntatt fra byggesaksbehandling,10101,10101,10101,10101,,,,,10101,10101,,Ikke utfylt,0.0,0.0,0.0,0,,L,22,EUREF89 UTM Sone 32,,,6563137.6,624231.4,,U,23,EUREF89 UTM Sone 33,,,6567380.84,281501.23,0.0,1,N,0.0,,,,D,"{'x': 624231.4000000004, 'y': 6563137.6, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",0,0,0,0,0.0,0.0,[0],[0],[0],0,0,0,0,0,0
38215,38216,5254973,30,VIKEN,3003,SARPSBORG,300276592,0,241,Hus for dyr/landbr.lager/silo,TB,Tatt i bruk,10101,10101,20160621,20160621,A,"Jordbruk, skogbruk og fiske",,,10101,10101,,Ikke utfylt,458.0,0.0,458.0,1,,L,22,EUREF89 UTM Sone 32,,,6564099.1,627489.1,,U,23,EUREF89 UTM Sone 33,,,6568046.0,284833.41,0.0,1,N,477.0,L,Y,,D,"{'x': 627489.0999999996, 'y': 6564099.1, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",0,0,True,0,107200.0,34.0,[0],[4.49782156 4.47855456 4.43674103 ... 5.24999015 4.93558918 4.81644612],[4.66550755 4.58046061 4.53549316 ... 4.9616339  4.82276858 4.69087259],[1.57786594 1.57786594 1.57786594 ... 1.57786594 1.57786594 1.57786594],"[-1.89343913 -1.89343913 -1.89343913 ... -1.89343913 -1.89343913
 -1.89343913]",[1.0265165  1.00724949 0.96543597 ... 1.77868509 1.46428412 1.34514105],0,0,"[ 9.87427242  9.75069147  9.62209698 ... 11.67473596 10.9070687
 10.53688658]"
38216,38217,5255751,30,VIKEN,3003,SARPSBORG,300277290,0,181,Garasjeuthus anneks til bolig,FA,Ferdigattest,10101,10101,20160404,20160404,Y,Annet som ikke er næring,,,10101,10101,,Ikke utfylt,21.0,0.0,21.0,1,,L,22,EUREF89 UTM Sone 32,,,6572611.2,615967.9,,U,23,EUREF89 UTM Sone 33,,,6577563.23,274119.57,0.0,1,N,24.0,A,Y,,B,"{'x': 615967.9000000004, 'y': 6572611.199999999, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",0,True,0.0,True,-1700.0,0.0,[0],[0.28724108 0.26822257 0.2581831  ... 0.36353218 0.32718944 0.31042255],[0.08745275 0.06807763 0.06119575 ... 0.15023662 0.13393187 0.1062985 ],0,0,0,"[-0.28724108 -0.26822257 -0.2581831  ... -0.36353218 -0.32718944
 -0.31042255]",[-0. -0. -0. ... -0. -0. -0.],[0.08745275 0.06807763 0.06119575 ... 0.15023662 0.13393187 0.1062985 ]
38217,38218,5256372,30,VIKEN,3003,SARPSBORG,300277845,0,161,Fritidsbygg(hyttersommerh. ol,FA,Ferdigattest,10101,20120206,20150709,20150721,Y,Annet som ikke er næring,,,20120208,10101,1,Tilkn. off. vannverk,47.0,0.0,47.0,1,,L,22,EUREF89 UTM Sone 32,,,6555702.5,625110.5,,U,23,EUREF89 UTM Sone 33,,,6559893.88,281709.08,0.0,1,N,50.0,A,Y,,D,"{'x': 625110.5, 'y': 6555702.5, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",0,True,0.0,True,-3500.0,0.0,[0],[0.64287289 0.60030765 0.57783837 ... 0.81361964 0.73228112 0.69475523],[0.19572758 0.15236421 0.13696192 ... 0.33624387 0.29975229 0.23790617],0,0,0,"[-0.64287289 -0.60030765 -0.57783837 ... -0.81361964 -0.73228112
 -0.69475523]",[-0. -0. -0. ... -0. -0. -0.],[0.19572758 0.15236421 0.13696192 ... 0.33624387 0.29975229 0.23790617]
38218,38219,5256902,30,VIKEN,3003,SARPSBORG,300278341,0,821,Politistasjon,FA,Ferdigattest,19961209,19970115,19980319,20120209,O,"Off. adm. og forsvar, og trygdeordninger underlagt off. forvaltning",,,20120209,20120209,1,Tilkn. off. vannverk,4504.0,0.0,4504.0,4,,L,22,EUREF89 UTM Sone 32,,,6573740.4,620285.0,,U,23,EUREF89 UTM Sone 33,,,6578299.93,278522.67,0.0,1,J,1.0,L,X,,A,"{'x': 620285, 'y': 6573740.4, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",True,True,0.0,0,1241800.0,501.0,[0],"[81.53487788 79.14000785 79.19397388 ... 92.70878392 89.90571277
 88.48999567]","[45.88088644 45.04452967 44.60231704 ... 48.79301115 47.42740105
 46.13032787]","[17.08355979 17.08355979 17.08355979 ... 17.08355979 17.08355979
 17.08355979]","[-42.70889947 -42.70889947 -42.70889947 ... -42.70889947 -42.70889947
 -42.70889947]","[21.74241863 19.3475486  19.40151462 ... 32.91632467 30.11325351
 28.69753642]",0,[-0. -0. -0. ... -0. -0. -0.],"[123.53284327 117.90674644 117.57246587 ... 148.79278006 141.82102765
 137.69252028]"
38219,38220,5257321,30,VIKEN,3003,SARPSBORG,300278673,0,181,Garasjeuthus anneks til bolig,FA,Ferdigattest,10101,10101,20120609,20160404,Y,Annet som ikke er næring,,,10101,10101,,Ikke utfylt,47.0,0.0,47.0,1,,L,22,EUREF89 UTM Sone 32,,,6576734.5,622763.5,,U,23,EUREF89 UTM Sone 33,,,6581060.1,281261.57,0.0,1,N,50.0,A,Y,,C,"{'x': 622763.5, 'y': 6576734.5, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",True,True,0.0,0,-1000.0,1.0,[0],[0.64287289 0.60030765 0.57783837 ... 0.81361964 0.73228112 0.69475523],[0.19572758 0.15236421 0.13696192 ... 0.33624387 0.29975229 0.23790617],[0.18367797 0.17151647 0.16509668 ... 0.23246275 0.20922318 0.19850149],"[-0.45919492 -0.42879118 -0.41274169 ... -0.58115688 -0.52305794
 -0.49625373]",[0. 0. 0. ... 0. 0. 0.],0,[-0. -0. -0. ... -0. -0. -0.],[0.56308352 0.49539715 0.46715527 ... 0.80116938 0.71819864 0.63490915]
38220,38221,5257621,30,VIKEN,3003,SARPSBORG,300278952,0,111,Enebolig,FA,Ferdigattest,10101,20120210,20130121,20130121,X,Bolig,,,20120214,10101,1,Tilkn. off. vannverk,227.0,227.0,0.0,2,1,L,22,EUREF89 UTM Sone 32,,,6572186.1,624986.6,,U,23,EUREF89 UTM Sone 33,,,6576328.33,283067.29,0.0,1,N,148.0,A,Y,,C,"{'x': 624986.5999999996, 'y': 6572186.1, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",0,True,0.0,True,-6700.0,1.0,[0],[3.1049393  2.89935823 2.79083638 ... 3.92960973 3.53676199 3.35551992],[0.94532259 0.73588672 0.66149691 ... 1.62398637 1.44773978 1.14903616],0,0,0,"[-3.1049393  -2.89935823 -2.79083638 ... -3.92960973 -3.53676199
 -3.35551992]",[-0. -0. -0. ... -0. -0. -0.],[0.94532259 0.73588672 0.66149691 ... 1.62398637 1.44773978 1.14903616]
38221,38222,5257622,30,VIKEN,3003,SARPSBORG,300278953,0,181,Garasjeuthus anneks til bolig,FA,Ferdigattest,10101,20120210,20180507,20180507,Y,Annet som ikke er næring,,,20120214,10101,,Ikke utfylt,45.0,0.0,45.0,1,,L,22,EUREF89 UTM Sone 32,,,6572198.0,624972.4,,U,23,EUREF89 UTM Sone 33,,,6576341.46,283054.21,0.0,1,N,48.0,A,Z,,C,"{'x': 624972.4000000004, 'y': 6572198, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",0,True,0.0,0,-0.0,1.0,[0],[0.46088147 0.40824203 0.39430859 ... 0.58307656 0.49708338 0.48051473],[0.18739875 0.14588063 0.13113375 ... 0.32193563 0.28699687 0.2277825 ],0,0,0,0,[-0. -0. -0. ... -0. -0. -0.],[0.64828022 0.55412266 0.52544234 ... 0.90501218 0.78408026 0.70829722]
38222,38223,5258327,30,VIKEN,3003,SARPSBORG,300279591,0,182,Garasjeuth.anneks til fritidb,FA,Ferdigattest,10101,20120213,20130124,20130128,Y,Annet som ikke er næring,,,20120216,10101,,Ikke utfylt,18.0,0.0,18.0,1,,L,22,EUREF89 UTM Sone 32,,,6558697.0,621359.5,,U,23,EUREF89 UTM Sone 33,,,6563214.46,278240.72,0.0,1,N,19.0,A,Y,,D,"{'x': 621359.5, 'y': 6558697, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",0,0,0.0,0,2300.0,1.0,[0],[0.24620664 0.22990506 0.2212998  ... 0.31159901 0.28044809 0.26607647],[0.0749595  0.05835225 0.0524535  ... 0.12877425 0.11479875 0.091113  ],0,0,0,0,0,[0.32116614 0.28825731 0.2737533  ... 0.44037326 0.39524684 0.35718947]
38223,38224,5260281,30,VIKEN,3003,SARPSBORG,300281390,0,181,Garasjeuthus anneks til bolig,TB,Tatt i bruk,10101,10101,20090615,20120224,Y,Annet som ikke er næring,,,10101,10101,,Ikke utfylt,8.0,0.0,8.0,1,,L,22,EUREF89 UTM Sone 32,,,6564305.6,624046.7,,U,23,EUREF89 UTM Sone 33,,,6568561.18,281422.19,0.0,1,N,9.0,A,Y,,D,"{'x': 624046.7000000002, 'y': 6564305.6, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",0,True,0.0,0,100.0,0.0,[0],[0.10942517 0.10218003 0.09835547 ... 0.13848845 0.12464359 0.11825621],[0.03331533 0.02593433 0.02331267 ... 0.057233   0.05102167 0.04049467],0,0,0,0,[-0. -0. -0. ... -0. -0. -0.],[0.14274051 0.12811436 0.12166813 ... 0.19572145 0.17566526 0.15875088]
38224,38225,5260643,30,VIKEN,3003,SARPSBORG,300281703,0,319,Annen kontorbygning,FA,Ferdigattest,10101,20110913,20120704,20120705,F,Bygge- og anleggsvirksomhet,,,20120227,10101,,Ikke utfylt,0.0,0.0,0.0,0,,L,22,EUREF89 UTM Sone 32,,,6577340.3,614977.7,,U,23,EUREF89 UTM Sone 33,,,6582364.45,273558.49,0.0,1,N,1.0,C,Y,1,A,"{'x': 614977.7000000002, 'y': 6577340.300000001, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",True,True,0.0,0.0,0.0,0.0,[0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[-0. -0. -0. ... -0. -0. -0.],[0. 0. 0. ... 0. 0. 0.],0,0,0
38225,38226,5261371,30,VIKEN,3003,SARPSBORG,300282331,0,181,Garasjeuthus anneks til bolig,TB,Tatt i bruk,10101,10101,20130215,20160404,Y,Annet som ikke er næring,,,10101,10101,,Ikke utfylt,44.0,0.0,44.0,1,,L,22,EUREF89 UTM Sone 32,,,6563397.5,625171.2,,U,23,EUREF89 UTM Sone 33,,,6567555.32,282460.95,0.0,1,N,49.0,A,Y,,D,"{'x': 625171.2000000002, 'y': 6563397.5, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",True,0,0.0,0,4000.0,1.0,[0],[0.60183845 0.56199014 0.54095507 ... 0.76168647 0.68553977 0.65040915],[0.18323433 0.14263883 0.12821967 ... 0.3147815  0.28061917 0.22272067],[0.17195384 0.16056861 0.15455859 ... 0.21762471 0.19586851 0.18583119],"[-0.42988461 -0.40142153 -0.38639648 ... -0.54406176 -0.48967126
 -0.46457796]",[0. 0. 0. ... 0. 0. 0.],0,0,[0.52714202 0.46377606 0.43733685 ... 0.75003091 0.67235618 0.59438304]
38226,38227,5261378,30,VIKEN,3003,SARPSBORG,300282333,0,181,Garasjeuthus anneks til bolig,FA,Ferdigattest,10101,10101,20160404,20160404,Y,Annet som ikke er næring,,,10101,10101,,Ikke utfylt,65.0,0.0,65.0,1,,L,22,EUREF89 UTM Sone 32,,,6574886.6,616444.1,,U,23,EUREF89 UTM Sone 33,,,6579787.6,274798.79,0.0,1,N,70.0,A,Y,,B,"{'x': 616444.0999999996, 'y': 6574886.6, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",0,0,0.0,True,2600.0,0.0,[0],[0.88907954 0.83021271 0.79913817 ... 1.12521865 1.0127292  0.9608317 ],[0.27068709 0.21071646 0.18941541 ... 0.46501813 0.41455104 0.32901916],0,0,0,"[-0.88907954 -0.83021271 -0.79913817 ... -1.12521865 -1.0127292
 -0.9608317 ]",0,[0.27068709 0.21071646 0.18941541 ... 0.46501813 0.41455104 0.32901916]
