,OBJECTID,BYGNING_ID,FYLKES_NR,FYLKES_NAVN,KOMMUNE_NR,KOMMUNE_NAVN,BYGNINGS_NR,BYGNING_LNR,BYGNINGSTYPE_NR,BYGNINGSTYPE_NAVN,BYGNINGSSTATUS_NR,BYGNINGSSTATUS_NAVN,GODKJENT_DATO,IGANGSATT_DATO,TATT_I_BRUK_DATO,TATT_I_BRUK,NAERINGSGRUPPE_KODE,NAERINGSGRUPPE_NAVN,PAABYGG_TILBYGG_KODE,PAABYGG_TILBYGG_NAVN,REGISTRERT_IGANGSATT_DATO,REGISTRERT_GODKJENT_DATO,VANNFORSYNING_NR,VANNFORSYNING_NAVN,BRUKSAREAL_TOTALT,BRUKSAREAL_BOLIG,BRUKSAREAL_ANNET_BOLIG,ANTALL_ETASJER,ANTALL_BOLIGER,LKOORDINAT_TYPE,LKOORDINATSYSTEM_NR,LKOORDINATSYSTEM_NAVN,LKOORDINAT_KVALITET_KODE,LKOORDINAT_KVALITET_NAVN,LX_KOORDINAT,LY_KOORDINAT,LZ_KOORDINAT,UKOORDINAT_TYPE,UKOORDINATSYSTEM_NR,UKOORDINATSYSTEM_NAVN,UKOORDINAT_KVALITET_KODE,UKOORDINAT_KVALITET_NAVN,UX_KOORDINAT,UY_KOORDINAT,UZ_KOORDINAT,EIENDOM_ANTALL,HAR_HEIS,BEBYGD_AREAL,Byggtype_profet,Energistandard_profet,Energibronn,Energiomraadeid,SHAPE,grunnvarme,solceller,luft_luft_varmepumpe,fjernvarme,_utetemperatur,_termisk_energibehov,_elspesifikt_energibehov,_kompressor,_levert_fra_kilde,_spisslast,_fjernvarmeproduksjon,_solcelleproduksjon,_nettutveksling_energi_liste,_nettutveksling_energi,_nettutveksling_effekt
95900,95901,6122609,30,VIKEN,3004,FREDRIKSTAD,301199764,0,181,Garasjeuthus anneks til bolig,IG,Igangsettingstillatelse,20230502,20230515,10101,10101,Y,Annet som ikke er næring,,,20230521,20230509,,Ikke utfylt,6.9,0.0,6.9,1,,L,22,EUREF89 UTM Sone 32,,,6564642.3,611083.3,0.0,U,23,EUREF89 UTM Sone 33,,,6570062.08,268535.67,0.0,1,N,6.9,,,,D,"{'x': 611083.2999999998, 'y': 6564642.300000001, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",0,0,0,0,[0],[0],[0],0,0,0,0,0,0,0.0,0.0
95901,95902,6122981,30,VIKEN,3004,FREDRIKSTAD,301200608,0,123,"Våningshus, tomannsb./vertikal.",RA,Rammetillatelse,20230505,10101,10101,10101,X,Bolig,,,10101,20230510,1,Tilkn. off. vannverk,104.3,104.3,0.0,2,1,L,22,EUREF89 UTM Sone 32,,,6567637.1,613317.5,0.0,U,23,EUREF89 UTM Sone 33,,,6572845.33,271031.23,0.0,1,N,66.4,,,,D,"{'x': 613317.5, 'y': 6567637.1, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",0,0,0,0,[0],[0],[0],0,0,0,0,0,0,0.0,0.0
95902,95903,6122982,30,VIKEN,3004,FREDRIKSTAD,301200609,0,123,"Våningshus, tomannsb./vertikal.",RA,Rammetillatelse,20230505,10101,10101,10101,X,Bolig,,,10101,20230510,1,Tilkn. off. vannverk,104.3,104.3,0.0,2,1,L,22,EUREF89 UTM Sone 32,,,6567643.2,613319.8,0.0,U,23,EUREF89 UTM Sone 33,,,6572851.21,271034.07,0.0,1,N,66.4,,,,D,"{'x': 613319.7999999998, 'y': 6567643.199999999, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",0,0,0,0,[0],[0],[0],0,0,0,0,0,0,0.0,0.0
95903,95904,6123225,30,VIKEN,3004,FREDRIKSTAD,301201160,0,181,Garasjeuthus anneks til bolig,IG,Igangsettingstillatelse,10101,20230425,10101,10101,Y,Annet som ikke er næring,,,20230511,10101,,Ikke utfylt,45.0,0.0,45.0,1,,L,22,EUREF89 UTM Sone 32,,,6566635.16,611126.3,,U,23,EUREF89 UTM Sone 33,,,6572044.0,268757.71,0.0,1,N,48.0,,,,D,"{'x': 611126.2999999998, 'y': 6566635.16, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",0,0,0,0,[0],[0],[0],0,0,0,0,0,0,0.0,0.0
95904,95905,6123720,30,VIKEN,3004,FREDRIKSTAD,301201880,0,181,Garasjeuthus anneks til bolig,IG,Igangsettingstillatelse,10101,20230509,10101,10101,Y,Annet som ikke er næring,,,20230512,10101,,Ikke utfylt,61.0,0.0,61.0,1,,L,22,EUREF89 UTM Sone 32,,,6577509.7,611542.3,0.0,U,23,EUREF89 UTM Sone 33,,,6582842.47,270150.63,0.0,1,N,66.0,,,,D,"{'x': 611542.2999999998, 'y': 6577509.699999999, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",0,0,0,0,[0],[0],[0],0,0,0,0,0,0,0.0,0.0
95905,95906,6123956,30,VIKEN,3004,FREDRIKSTAD,301201902,0,181,Garasjeuthus anneks til bolig,IG,Igangsettingstillatelse,10101,20230510,10101,10101,Y,Annet som ikke er næring,,,20230514,10101,,Ikke utfylt,45.8,0.0,45.8,1,,L,22,EUREF89 UTM Sone 32,,,6569095.3,613696.4,0.0,U,23,EUREF89 UTM Sone 33,,,6574264.25,271539.92,0.0,1,N,50.0,,,,D,"{'x': 613696.4000000004, 'y': 6569095.300000001, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",0,0,0,0,[0],[0],[0],0,0,0,0,0,0,0.0,0.0
95906,95907,6123957,30,VIKEN,3004,FREDRIKSTAD,301201905,0,181,Garasjeuthus anneks til bolig,IG,Igangsettingstillatelse,10101,20230510,10101,10101,Y,Annet som ikke er næring,,,20230514,10101,,Ikke utfylt,45.6,0.0,45.6,1,,L,22,EUREF89 UTM Sone 32,,,6569288.6,609751.7,0.0,U,23,EUREF89 UTM Sone 33,,,6574811.68,267626.63,0.0,1,N,49.8,,,,D,"{'x': 609751.7000000002, 'y': 6569288.6, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",0,0,0,0,[0],[0],[0],0,0,0,0,0,0,0.0,0.0
95907,95908,6124296,30,VIKEN,3004,FREDRIKSTAD,301202584,0,181,Garasjeuthus anneks til bolig,IG,Igangsettingstillatelse,10101,20230515,10101,10101,Y,Annet som ikke er næring,,,20230515,10101,,Ikke utfylt,26.0,0.0,26.0,1,,L,22,EUREF89 UTM Sone 32,,,6570772.3,599945.3,0.0,U,23,EUREF89 UTM Sone 33,,,6577172.4,257988.0,0.0,1,N,30.0,,,,D,"{'x': 599945.2999999998, 'y': 6570772.300000001, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",0,0,0,0,[0],[0],[0],0,0,0,0,0,0,0.0,0.0
95908,95909,6124997,30,VIKEN,3004,FREDRIKSTAD,301203395,0,181,Garasjeuthus anneks til bolig,IG,Igangsettingstillatelse,10101,20230516,10101,10101,Y,Annet som ikke er næring,,,20230521,10101,,Ikke utfylt,42.6,0.0,42.6,1,,L,22,EUREF89 UTM Sone 32,,,6567205.1,612207.3,0.0,U,23,EUREF89 UTM Sone 33,,,6572514.71,269886.13,0.0,1,N,47.0,,,,D,"{'x': 612207.2999999998, 'y': 6567205.1, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",0,0,0,0,[0],[0],[0],0,0,0,0,0,0,0.0,0.0
95909,95910,6125104,30,VIKEN,3004,FREDRIKSTAD,301203832,0,111,Enebolig,RA,Rammetillatelse,20230421,10101,10101,10101,X,Bolig,,,10101,20230522,1,Tilkn. off. vannverk,220.0,220.0,0.0,2,1,L,22,EUREF89 UTM Sone 32,,,6565331.5,614365.3,0.0,U,23,EUREF89 UTM Sone 33,,,6570453.74,271867.97,0.0,1,N,220.0,,,,D,"{'x': 614365.2999999998, 'y': 6565331.5, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",0,0,0,0,[0],[0],[0],0,0,0,0,0,0,0.0,0.0
